Transaction_ID,Date,Transaction_Type,Category,Sub_Category,Description,Amount,Payment_Method,Account,Income_Source,Budget
TXN00194,2025-02-14,Income,Freelance,Freelance,Freelance Writing Gig,15967.0,Bank Transfer,ICICI Bank,Freelance Clients,0.0
TXN00195,2025-05-18,Income,Business,Business,Business Revenue,22935.0,Bank Transfer,Cash Wallet,Business Earnings,0.0
TXN00196,2025-04-06,Income,Investment,Investment,Fd Interest,3074.0,UPI,SBI,Investment Portfolio,0.0
TXN00197,2025-12-23,Income,Freelance,Freelance,Freelance Design Work,2695.0,Cash,Cash Wallet,Freelance Clients,0.0
TXN00198,2025-12-10,Income,Investment,Investment,Interest Income,4959.0,UPI,ICICI Bank,Investment Portfolio,0.0
TXN00199,2025-09-10,Income,Business,Business,Business Revenue,17511.0,Credit Card,Axis Bank,Business Earnings,0.0
TXN00200,2025-06-10,Income,Business,Business,Client Payment,49181.0,Net Banking,Axis Bank,Business Earnings,0.0
TXN00201,2025-01-20,Income,Other Income,Other Income,Refund Received,6139.0,Cash,Cash Wallet,Other Sources,0.0
TXN00202,2025-04-01,Income,Business,Business,Client Payment,48345.0,Cash,Axis Bank,Business Earnings,0.0
TXN00203,2025-02-03,Income,Business,Business,Business Earnings,10135.0,Cash,Axis Bank,Business Earnings,0.0
TXN00204,2025-10-16,Income,Other Income,Other Income,Refund Received,4514.0,Bank Transfer,Axis Bank,Other Sources,0.0
TXN00205,2025-02-02,Income,Business,Business,Business Earnings,49306.0,UPI,SBI,Business Earnings,0.0
TXN00206,2025-09-05,Income,Other Income,Other Income,Bonus Income,6050.0,Cash,SBI,Other Sources,0.0
TXN00207,2025-12-14,Income,Salary,Monthly Salary,Salary Credit,22457.0,Cash,Axis Bank,Employer,0.0
TXN00208,2025-04-23,Income,Other Income,Other Income,Refund Received,7887.0,Bank Transfer,ICICI Bank,Other Sources,0.0
TXN00209,2025-09-07,Income,Freelance,Freelance,Freelance Gig Income,13524.0,UPI,Axis Bank,Freelance Clients,0.0
TXN00210,2025-11-17,Income,Investment,Investment,Dividend Income,8554.0,Cash,Cash Wallet,Investment Portfolio,0.0
TXN00211,2025-06-06,Income,Freelance,Freelance,Freelance Gig Income,25032.0,Credit Card,HDFC Bank,Freelance Clients,0.0
TXN00212,2025-06-13,Income,Salary,Monthly Salary,Salary - April,22922.0,Debit Card,HDFC Bank,Employer,0.0
TXN00213,2025-03-15,Income,Other Income,Other Income,Bonus Income,5763.0,Cash,Axis Bank,Other Sources,0.0
TXN00214,2025-06-06,Income,Salary,Monthly Salary,Salary - November,64366.0,Debit Card,Cash Wallet,Employer,0.0
TXN00215,2025-11-15,Income,Freelance,Freelance,Freelance Project Payment,8567.0,UPI,Axis Bank,Freelance Clients,0.0
TXN00216,2025-08-31,Income,Freelance,Freelance,Freelance Gig Income,2126.0,Bank Transfer,ICICI Bank,Freelance Clients,0.0
TXN00217,2025-03-15,Income,Freelance,Freelance,Freelance Consulting,2829.0,Net Banking,ICICI Bank,Freelance Clients,0.0
TXN00218,2025-07-12,Income,Investment,Investment,Sip Redemption,10238.0,Credit Card,SBI,Investment Portfolio,0.0
TXN00219,2025-09-15,Income,Business,Business,Business Earnings,20661.0,Net Banking,Cash Wallet,Business Earnings,0.0
TXN00220,2025-01-29,Income,Other Income,Other Income,Gift Received,4804.0,Debit Card,SBI,Other Sources,0.0
TXN00221,2025-10-06,Income,Salary,Monthly Salary,Salary - February,73193.0,Bank Transfer,HDFC Bank,Employer,0.0
TXN00222,2025-03-15,Income,Investment,Investment,Dividend Income,5458.0,Debit Card,Axis Bank,Investment Portfolio,0.0
TXN00223,2025-04-18,Income,Business,Business,Business Earnings,49943.0,Cash,SBI,Business Earnings,0.0
TXN00224,2025-06-01,Income,Investment,Investment,Mutual Fund Returns,2484.0,UPI,ICICI Bank,Investment Portfolio,0.0
TXN00225,2025-07-04,Income,Salary,Monthly Salary,Salary - December,62053.0,Net Banking,ICICI Bank,Employer,0.0
TXN00226,2025-12-01,Income,Salary,Monthly Salary,Salary - April,74918.0,Credit Card,ICICI Bank,Employer,0.0
TXN00227,2025-03-23,Income,Freelance,Freelance,Freelance Project Payment,12231.0,UPI,HDFC Bank,Freelance Clients,0.0
TXN00228,2025-04-04,Income,Freelance,Freelance,Freelance Design Work,2495.0,Credit Card,ICICI Bank,Freelance Clients,0.0
